code_muni;Nome;Área Colhida há (2024)
3100104;Abadia dos Dourados (MG);224
3100203;Abaeté (MG);60
3100302;Abre Campo (MG);4100
3100401;Acaiaca (MG);4
3100500;Açucena (MG);3
3100609;Água Boa (MG);2310
3100708;Água Comprida (MG);-
3100807;Aguanil (MG);1917
3100906;Águas Formosas (MG);-
3101003;Águas Vermelhas (MG);798
3101102;Aimorés (MG);680
3101201;Aiuruoca (MG);10
3101300;Alagoa (MG);-
3101409;Albertina (MG);1500
3101508;Além Paraíba (MG);-
3101607;Alfenas (MG);12785
3101631;Alfredo Vasconcelos (MG);-
3101706;Almenara (MG);50
3101805;Alpercata (MG);-
3101904;Alpinópolis (MG);6600
3102001;Alterosa (MG);5335
3102050;Alto Caparaó (MG);2550
3102100;Alto Rio Doce (MG);-
3102209;Alvarenga (MG);8
3102308;Alvinópolis (MG);-
3102407;Alvorada de Minas (MG);-
3102506;Amparo do Serra (MG);360
3102605;Andradas (MG);6900
3102704;Cachoeira de Pajeú (MG);-
3102803;Andrelândia (MG);310
3102852;Angelândia (MG);3720
3102902;Antônio Carlos (MG);-
3103009;Antônio Dias (MG);44
3103108;Antônio Prado de Minas (MG);30
3103207;Araçaí (MG);-
3103306;Aracitaba (MG);-
3103405;Araçuaí (MG);-
3103504;Araguari (MG);13175
3103603;Arantina (MG);-
3103702;Araponga (MG);4400
3103751;Araporã (MG);-
3103801;Arapuá (MG);770
3103900;Araújos (MG);-
3104007;Araxá (MG);3403
3104106;Arceburgo (MG);1740
3104205;Arcos (MG);-
3104304;Areado (MG);2850
3104403;Argirita (MG);-
3104452;Aricanduva (MG);815
3104502;Arinos (MG);-
3104601;Astolfo Dutra (MG);8
3104700;Ataléia (MG);85
3104809;Augusto de Lima (MG);-
3104908;Baependi (MG);905
3105004;Baldim (MG);-
3105103;Bambuí (MG);2920
3105202;Bandeira (MG);40
3105301;Bandeira do Sul (MG);370
3105400;Barão de Cocais (MG);-
3105509;Barão do Monte Alto (MG);-
3105608;Barbacena (MG);-
3105707;Barra Longa (MG);-
3105905;Barroso (MG);-
3106002;Bela Vista de Minas (MG);...
3106101;Belmiro Braga (MG);-
3106200;Belo Horizonte (MG);...
3106309;Belo Oriente (MG);-
3106408;Belo Vale (MG);-
3106507;Berilo (MG);176
3106606;Bertópolis (MG);-
3106655;Berizal (MG);310
3106705;Betim (MG);-
3106804;Bias Fortes (MG);-
3106903;Bicas (MG);-
3107000;Biquinhas (MG);256
3107109;Boa Esperança (MG);8630
3107208;Bocaina de Minas (MG);-
3107307;Bocaiúva (MG);182
3107406;Bom Despacho (MG);-
3107505;Bom Jardim de Minas (MG);-
3107604;Bom Jesus da Penha (MG);2500
3107703;Bom Jesus do Amparo (MG);4
3107802;Bom Jesus do Galho (MG);1000
3107901;Bom Repouso (MG);14
3108008;Bom Sucesso (MG);3490
3108107;Bonfim (MG);-
3108206;Bonfinópolis de Minas (MG);760
3108255;Bonito de Minas (MG);-
3108305;Borda da Mata (MG);400
3108404;Botelhos (MG);6875
3108503;Botumirim (MG);40
3108552;Brasilândia de Minas (MG);-
3108602;Brasília de Minas (MG);-
3108701;Brás Pires (MG);...
3108800;Braúnas (MG);-
3108909;Brazópolis (MG);411
3109006;Brumadinho (MG);-
3109105;Bueno Brandão (MG);2040
3109204;Buenópolis (MG);-
3109253;Bugre (MG);-
3109303;Buritis (MG);929
3109402;Buritizeiro (MG);1170
3109451;Cabeceira Grande (MG);-
3109501;Cabo Verde (MG);9100
3109600;Cachoeira da Prata (MG);...
3109709;Cachoeira de Minas (MG);1280
3109808;Cachoeira Dourada (MG);-
3109907;Caetanópolis (MG);-
3110004;Caeté (MG);10
3110103;Caiana (MG);3500
3110202;Cajuri (MG);850
3110301;Caldas (MG);1300
3110400;Camacho (MG);2710
3110509;Camanducaia (MG);-
3110608;Cambuí (MG);8
3110707;Cambuquira (MG);3000
3110806;Campanário (MG);-
3110905;Campanha (MG);3336
3111002;Campestre (MG);12480
3111101;Campina Verde (MG);-
3111150;Campo Azul (MG);...
3111200;Campo Belo (MG);2500
3111309;Campo do Meio (MG);4418
3111408;Campo Florido (MG);-
3111507;Campos Altos (MG);10070
3111606;Campos Gerais (MG);19000
3111705;Canaã (MG);960
3111804;Canápolis (MG);-
3111903;Cana Verde (MG);620
3112000;Candeias (MG);6070
3112059;Cantagalo (MG);-
3112109;Caparaó (MG);5580
3112208;Capela Nova (MG);405
3112307;Capelinha (MG);7033
3112406;Capetinga (MG);5890
3112505;Capim Branco (MG);-
3112604;Capinópolis (MG);-
3112653;Capitão Andrade (MG);-
3112703;Capitão Enéas (MG);1
3112802;Capitólio (MG);1800
3112901;Caputira (MG);4620
3113008;Caraí (MG);500
3113107;Caranaíba (MG);40
3113206;Carandaí (MG);40
3113305;Carangola (MG);4225
3113404;Caratinga (MG);11930
3113503;Carbonita (MG);30
3113602;Careaçu (MG);1180
3113701;Carlos Chagas (MG);-
3113800;Carmésia (MG);...
3113909;Carmo da Cachoeira (MG);12000
3114006;Carmo da Mata (MG);900
3114105;Carmo de Minas (MG);3350
3114204;Carmo do Cajuru (MG);-
3114303;Carmo do Paranaíba (MG);11540
3114402;Carmo do Rio Claro (MG);11500
3114501;Carmópolis de Minas (MG);100
3114550;Carneirinho (MG);-
3114600;Carrancas (MG);28
3114709;Carvalhópolis (MG);1900
3114808;Carvalhos (MG);...
3114907;Casa Grande (MG);67
3115003;Cascalho Rico (MG);490
3115102;Cássia (MG);5590
3115201;Conceição da Barra de Minas (MG);275
3115300;Cataguases (MG);2
3115359;Catas Altas (MG);5
3115409;Catas Altas da Noruega (MG);10
3115458;Catuji (MG);65
3115474;Catuti (MG);...
3115508;Caxambu (MG);98
3115607;Cedro do Abaeté (MG);...
3115706;Central de Minas (MG);-
3115805;Centralina (MG);-
3115904;Chácara (MG);2
3116001;Chalé (MG);2380
3116100;Chapada do Norte (MG);-
3116159;Chapada Gaúcha (MG);-
3116209;Chiador (MG);-
3116308;Cipotânea (MG);30
3116407;Claraval (MG);3600
3116506;Claro dos Poções (MG);-
3116605;Cláudio (MG);316
3116704;Coimbra (MG);395
3116803;Coluna (MG);3
3116902;Comendador Gomes (MG);-
3117009;Comercinho (MG);17
3117108;Conceição da Aparecida (MG);9000
3117207;Conceição das Pedras (MG);1795
3117306;Conceição das Alagoas (MG);12
3117405;Conceição de Ipanema (MG);865
3117504;Conceição do Mato Dentro (MG);-
3117603;Conceição do Pará (MG);-
3117702;Conceição do Rio Verde (MG);4300
3117801;Conceição dos Ouros (MG);260
3117836;Cônego Marinho (MG);...
3117876;Confins (MG);...
3117900;Congonhal (MG);330
3118007;Congonhas (MG);8
3118106;Congonhas do Norte (MG);15
3118205;Conquista (MG);8
3118304;Conselheiro Lafaiete (MG);-
3118403;Conselheiro Pena (MG);3830
3118502;Consolação (MG);-
3118601;Contagem (MG);-
3118700;Coqueiral (MG);9000
3118809;Coração de Jesus (MG);9
3118908;Cordisburgo (MG);-
3119005;Cordislândia (MG);1780
3119104;Corinto (MG);-
3119203;Coroaci (MG);60
3119302;Coromandel (MG);7810
3119401;Coronel Fabriciano (MG);-
3119500;Coronel Murta (MG);-
3119609;Coronel Pacheco (MG);-
3119708;Coronel Xavier Chaves (MG);-
3119807;Córrego Danta (MG);950
3119906;Córrego do Bom Jesus (MG);-
3119955;Córrego Fundo (MG);255
3120003;Córrego Novo (MG);35
3120102;Couto de Magalhães de Minas (MG);2
3120151;Crisólita (MG);-
3120201;Cristais (MG);3580
3120300;Cristália (MG);5
3120409;Cristiano Otoni (MG);-
3120508;Cristina (MG);760
3120607;Crucilândia (MG);-
3120706;Cruzeiro da Fortaleza (MG);600
3120805;Cruzília (MG);179
3120839;Cuparaque (MG);245
3120870;Curral de Dentro (MG);70
3120904;Curvelo (MG);-
3121001;Datas (MG);6
3121100;Delfim Moreira (MG);-
3121209;Delfinópolis (MG);350
3121258;Delta (MG);-
3121308;Descoberto (MG);1
3121407;Desterro de Entre Rios (MG);82
3121506;Desterro do Melo (MG);10
3121605;Diamantina (MG);618
3121704;Diogo de Vasconcelos (MG);...
3121803;Dionísio (MG);-
3121902;Divinésia (MG);120
3122009;Divino (MG);9800
3122108;Divino das Laranjeiras (MG);5
3122207;Divinolândia de Minas (MG);40
3122306;Divinópolis (MG);-
3122355;Divisa Alegre (MG);40
3122405;Divisa Nova (MG);2380
3122454;Divisópolis (MG);818
3122470;Dom Bosco (MG);-
3122504;Dom Cavati (MG);25
3122603;Dom Joaquim (MG);2
3122702;Dom Silvério (MG);-
3122801;Dom Viçoso (MG);325
3122900;Dona Euzébia (MG);-
3123007;Dores de Campos (MG);...
3123106;Dores de Guanhães (MG);...
3123205;Dores do Indaiá (MG);...
3123304;Dores do Turvo (MG);50
3123403;Doresópolis (MG);260
3123502;Douradoquara (MG);-
3123528;Durandé (MG);5225
3123601;Elói Mendes (MG);12542
3123700;Engenheiro Caldas (MG);-
3123809;Engenheiro Navarro (MG);-
3123858;Entre Folhas (MG);360
3123908;Entre Rios de Minas (MG);150
3124005;Ervália (MG);5100
3124104;Esmeraldas (MG);32
3124203;Espera Feliz (MG);9500
3124302;Espinosa (MG);-
3124401;Espírito Santo do Dourado (MG);485
3124500;Estiva (MG);2
3124609;Estrela Dalva (MG);-
3124708;Estrela do Indaiá (MG);200
3124807;Estrela do Sul (MG);2400
3124906;Eugenópolis (MG);1700
3125002;Ewbank da Câmara (MG);...
3125101;Extrema (MG);2
3125200;Fama (MG);1240
3125309;Faria Lemos (MG);685
3125408;Felício dos Santos (MG);297
3125507;São Gonçalo do Rio Preto (MG);42
3125606;Felisburgo (MG);9
3125705;Felixlândia (MG);-
3125804;Fernandes Tourinho (MG);-
3125903;Ferros (MG);39
3125952;Fervedouro (MG);3100
3126000;Florestal (MG);-
3126109;Formiga (MG);2785
3126208;Formoso (MG);1000
3126307;Fortaleza de Minas (MG);1270
3126406;Fortuna de Minas (MG);...
3126505;Francisco Badaró (MG);-
3126604;Francisco Dumont (MG);300
3126703;Francisco Sá (MG);-
3126752;Franciscópolis (MG);90
3126802;Frei Gaspar (MG);30
3126901;Frei Inocêncio (MG);-
3126950;Frei Lagonegro (MG);5
3127008;Fronteira (MG);-
3127057;Fronteira dos Vales (MG);-
3127073;Fruta de Leite (MG);-
3127107;Frutal (MG);-
3127206;Funilândia (MG);-
3127305;Galiléia (MG);-
3127339;Gameleiras (MG);-
3127354;Glaucilândia (MG);-
3127370;Goiabeira (MG);-
3127388;Goianá (MG);-
3127404;Gonçalves (MG);-
3127503;Gonzaga (MG);-
3127602;Gouveia (MG);-
3127701;Governador Valadares (MG);-
3127800;Grão Mogol (MG);90
3127909;Grupiara (MG);-
3128006;Guanhães (MG);-
3128105;Guapé (MG);9100
3128204;Guaraciaba (MG);130
3128253;Guaraciama (MG);-
3128303;Guaranésia (MG);4200
3128402;Guarani (MG);58
3128501;Guarará (MG);14
3128600;Guarda-Mor (MG);354
3128709;Guaxupé (MG);3950
3128808;Guidoval (MG);-
3128907;Guimarânia (MG);4100
3129004;Guiricema (MG);200
3129103;Gurinhatã (MG);-
3129202;Heliodora (MG);3185
3129301;Iapu (MG);304
3129400;Ibertioga (MG);-
3129509;Ibiá (MG);5550
3129608;Ibiaí (MG);...
3129657;Ibiracatu (MG);...
3129707;Ibiraci (MG);15800
3129806;Ibirité (MG);-
3129905;Ibitiúra de Minas (MG);1510
3130002;Ibituruna (MG);600
3130051;Icaraí de Minas (MG);-
3130101;Igarapé (MG);10
3130200;Igaratinga (MG);...
3130309;Iguatama (MG);-
3130408;Ijaci (MG);200
3130507;Ilicínea (MG);6970
3130556;Imbé de Minas (MG);3400
3130606;Inconfidentes (MG);3025
3130655;Indaiabira (MG);540
3130705;Indianópolis (MG);4570
3130804;Ingaí (MG);438
3130903;Inhapim (MG);3580
3131000;Inhaúma (MG);-
3131109;Inimutaba (MG);-
3131158;Ipaba (MG);-
3131208;Ipanema (MG);25
3131307;Ipatinga (MG);-
3131406;Ipiaçu (MG);...
3131505;Ipuiúna (MG);-
3131604;Iraí de Minas (MG);1158
3131703;Itabira (MG);6
3131802;Itabirinha (MG);111
3131901;Itabirito (MG);-
3132008;Itacambira (MG);4
3132107;Itacarambi (MG);-
3132206;Itaguara (MG);13
3132305;Itaipé (MG);400
3132404;Itajubá (MG);29
3132503;Itamarandiba (MG);525
3132602;Itamarati de Minas (MG);66
3132701;Itambacuri (MG);237
3132800;Itambé do Mato Dentro (MG);-
3132909;Itamogi (MG);10400
3133006;Itamonte (MG);-
3133105;Itanhandu (MG);-
3133204;Itanhomi (MG);335
3133303;Itaobim (MG);-
3133402;Itapagipe (MG);-
3133501;Itapecerica (MG);395
3133600;Itapeva (MG);-
3133709;Itatiaiuçu (MG);-
3133758;Itaú de Minas (MG);9
3133808;Itaúna (MG);-
3133907;Itaverava (MG);-
3134004;Itinga (MG);-
3134103;Itueta (MG);-
3134202;Ituiutaba (MG);4
3134301;Itumirim (MG);359
3134400;Iturama (MG);-
3134509;Itutinga (MG);100
3134608;Jaboticatubas (MG);8
3134707;Jacinto (MG);-
3134806;Jacuí (MG);3250
3134905;Jacutinga (MG);3195
3135001;Jaguaraçu (MG);...
3135050;Jaíba (MG);-
3135076;Jampruca (MG);-
3135100;Janaúba (MG);-
3135209;Januária (MG);-
3135308;Japaraíba (MG);-
3135357;Japonvar (MG);-
3135407;Jeceaba (MG);-
3135456;Jenipapo de Minas (MG);-
3135506;Jequeri (MG);3600
3135605;Jequitaí (MG);-
3135704;Jequitibá (MG);-
3135803;Jequitinhonha (MG);60
3135902;Jesuânia (MG);1630
3136009;Joaíma (MG);-
3136108;Joanésia (MG);-
3136207;João Monlevade (MG);...
3136306;João Pinheiro (MG);3000
3136405;Joaquim Felício (MG);-
3136504;Jordânia (MG);-
3136520;José Gonçalves de Minas (MG);190
3136553;José Raydan (MG);-
3136579;Josenópolis (MG);4
3136603;Nova União (MG);5
3136652;Juatuba (MG);-
3136702;Juiz de Fora (MG);6
3136801;Juramento (MG);-
3136900;Juruaia (MG);4800
3136959;Juvenília (MG);...
3137007;Ladainha (MG);100
3137106;Lagamar (MG);410
3137205;Lagoa da Prata (MG);-
3137304;Lagoa dos Patos (MG);...
3137403;Lagoa Dourada (MG);262
3137502;Lagoa Formosa (MG);1050
3137536;Lagoa Grande (MG);140
3137601;Lagoa Santa (MG);-
3137700;Lajinha (MG);8485
3137809;Lambari (MG);4800
3137908;Lamim (MG);18
3138005;Laranjal (MG);-
3138104;Lassance (MG);100
3138203;Lavras (MG);5020
3138302;Leandro Ferreira (MG);-
3138351;Leme do Prado (MG);68
